"Zeitstempel","Wie zufrieden sind Sie mit dem Tool?","Inwiefern war das Tool in Bezug auf Ihre Lernerfahrung nützlich und hilfreich?","Welches Element des Tools fanden Sie am nützlichsten?","Wie zufrieden sind Sie mit der ...? [Bedienbarkeit]","Wie zufrieden sind Sie mit der ...? [Umsetzung]","Wie zufrieden sind Sie mit der ...? [Gestaltung]","Wie zufrieden sind Sie mit der ...? [Performanz]","Würden Sie das Tool weiterempfehlen/ sich wünschen das es mehr eingesetzt wird/ weiterhin nutzen?","Zusätzliches Feedback"
"2019/11/21 10:26:48 AM MEZ","5","5","Die interaktiven Fragen","5","4","5","5","5","Erhöht das Lernvermögen deutlich und fördert Konzentration"
"2019/11/21 10:46:22 AM MEZ","4","5","Das man es benutzen kann, um bestimmte Stellen in Vorlesungen zu finden und dass man über es den Inhalt einer Vorlesung durchsuchen kann. Man glaubt kaum, wie aufwendig es ist, nach einer Videoaufzeichnung über ein bestimmtes Thema zu suchen.","5","3","4","5","4","Ein gutes Tool, aber die Probleme mit der Texterkennung macht die Nutzung nicht immer optimal. Aber das ist ein Standardproblem, für das es eh keine wirkliche Lösung gibt ;)."
"2019/11/21 11:00:29 AM MEZ","1","2","Fenster für Texterkennung","2","1","1","2","1","Ich finde es sehr nützlich, dass man den Inhalt der Vorlesung rechts angezeigt bekommt. Wenn man etwas sucht, findet man dadurch sehr leicht die Stelle in der Vorlesung."
"2019/11/21 11:19:47 AM MEZ","5","5","Suchfunktion, dass man dann in den slides auf die richte slide springt","5","4","4","5","5",""
"2019/11/21 11:34:53 AM MEZ","3","4","Direktes auffinden der Textstelle zum Video -> schnelle Suche im Video","3","4","3","2","4","Stabilisieren und Performanz verbessern"
"2019/11/21 11:45:00 AM MEZ","4","5","Suchfunktion und springen zur entsprechenden Stelle","5","4","4","4","5","Ich finde die eingebaute Geschwindigkeitsbuttons geil (hase und schildkröte)"
"2019/11/21 1:01:49 PM MEZ","3","4","Das sehr einfache und verständliche Zusammenspiel zwischen Video und dazugehöriges Textdokument.","5","4","5","3","5","Gute Idee sollte Grafisch ansprechender sein und für Laien bedienbar. Funktionen auch ohne Shortcuts anwendbar sein."
"2019/11/21 1:23:31 PM MEZ","5","5","Mit STRG-F im Text rechts suchen, dann klicken und direkt hinspringen. Außerdem finde ich SMILE natürlich toll ;)","5","5","5","5","5","Wenn das in den Vorlesung eingesetzt würde, hätte ich mir sicher die Videos zu Hause nochmal angeschaut."
"2019/11/21 1:32:09 PM MEZ","5","4","Dass man direkt eine bestimmte Stelle in einem Vorlesungsvideo finden kann, indem man in dem Text nach dem Schlagwort sucht und auf die Stelle dann springen kann.","5","5","4","5","5","Ich finde es auch schön, dass es mit Smile verknüpft ist. Ich hatte dadurch schon mehr Spaß weil das auch was ist was ich dur die Vorlesungen gekannt habe. Der Zusammenhang gefällt mir und ich würde das Tool gerne öfter nutzen."
"2019/11/21 1:41:20 PM MEZ","5","4","OCR","4","4","2","4","5",""
"2019/11/21 2:00:37 PM MEZ","4","3","Die verknüpfte Zusammenfassung","3","4","2","2","3",""
"2019/11/21 2:05:46 PM MEZ","4","5","Die automatische Zusammenfassung","5","4","3","4","5",""
"2019/11/21 2:12:56 PM MEZ","5","4","","1","2","1","1","5",""
